ticket_customer_id,email,name,created_at,postal_code,country,marketing_consent
71000000,henrik.holm.001@example.com,,2020-01-05T19:00:00Z,,,False
71000017,ida.nordli.002@example.net,Ida Nordli,2022-10-28T19:00:00Z,8037,NO,True
71000034,ingrid.dahl.003@example.org,Ingrid Dahl,2018-11-18T19:00:00Z,8074,NO,True
71000051,sofie.nordli.004@example.com,Sofie Nordli,2019-04-02T19:00:00Z,8111,NO,False
71000068,lina.berg.005@example.net,Lina Berg,2018-09-28T19:00:00Z,8148,NO,True
71000085,astrid.solberg.006@example.org,Astrid Solberg,2019-05-05T19:00:00Z,8185,NO,True
71000102,aksel.haugen.007@example.com,Aksel Haugen,2021-04-12T19:00:00Z,8222,NO,False
71000119,frida.solberg.008@example.net,Frida Solberg,2022-12-01T19:00:00Z,8259,NO,True
71000136,magnus.solberg.009@example.org,Magnus Solberg,2022-10-01T19:00:00Z,8296,NO,True
71000153,sara.moen.010@example.com,Sara Moen,2021-02-03T19:00:00Z,8333,NO,False
71000170,sara.dahl.011@example.net,Sara Dahl,2021-04-19T19:00:00Z,8370,NO,True
71000187,aksel.kristiansen.012@example.org,Aksel Kristiansen,2023-03-14T19:00:00Z,8407,NO,True
71000204,isak.knutsen.013@example.com,Isak Knutsen,2023-12-28T19:00:00Z,8444,NO,False
71000221,pernille.olsen.014@example.net,Pernille Olsen,2023-03-25T19:00:00Z,8481,NO,True
71000238,ola.fjell.015@example.org,Ola Fjell,2018-11-11T19:00:00Z,8518,NO,True
71000255,henrik.eide.016@example.com,Henrik Eide,2020-06-23T19:00:00Z,8555,NO,False
71000272,amalie.nordli.017@example.net,Amalie Nordli,2021-08-23T19:00:00Z,8592,NO,True
71000289,anders.strand.018@example.org,Anders Strand,2020-09-20T19:00:00Z,8629,NO,True
71000306,ola.solberg.019@example.com,Ola Solberg,2021-08-29T19:00:00Z,8666,NO,False
71000323,emma.fjell.020@example.net,Emma Fjell,2024-01-07T19:00:00Z,8703,NO,True
71000340,amalie.nordli.021@example.org,Amalie Nordli,2019-01-01T19:00:00Z,8740,NO,True
71000357,jakob.fjell.022@example.com,Jakob Fjell,2022-09-21T19:00:00Z,8777,NO,False
71000374,astrid.lund.023@example.net,Astrid Lund,2019-07-22T19:00:00Z,8814,NO,True
71000391,hanna.gran.024@example.org,Hanna Gran,2023-12-26T19:00:00Z,8851,NO,True
71000408,emil.holm.025@example.com,Emil Holm,2021-11-25T19:00:00Z,8888,NO,False
71000425,elias.knutsen.026@example.net,Elias Knutsen,2020-07-01T19:00:00Z,8925,NO,True
71000442,lea.lund.027@example.org,Lea Lund,2021-05-24T19:00:00Z,8962,NO,True
71000459,julie.kristiansen.028@example.com,Julie Kristiansen,2019-06-02T19:00:00Z,8999,NO,False
71000476,isak.eide.029@example.net,Isak Eide,2021-07-16T19:00:00Z,9036,NO,True
